,document,term,tfidf
192019,Marlon Brando,hepburn,0.06260854874368488
186250,Marlon Brando,comedy,0.06171515255625946
194398,Marlon Brando,leach,0.06084330694331263
1229942,Mary Pickford,niro,0.9161664902779151
1223027,Mary Pickford,film,0.1680530174258412
1234381,Mary Pickford,scorsese,0.07242122726719201
1237496,Mary Pickford,tribeca,0.054603889282049706
1219975,Mary Pickford,crime,0.051967799844513635
1215054,Mary Pickford,actor,0.044312150793648225
1221408,Mary Pickford,drama,0.04133875074357119
1217048,Mary Pickford,best,0.041285839982772604
1235832,Mary Pickford,starred,0.04081382309941284
1214935,Mary Pickford,academy,0.040646370680668155
1365958,Meryl Streep,temple,0.8179488225688991
1364004,Meryl Streep,shirley,0.14762445121357484
1352529,Meryl Streep,fox,0.09364008072656137
1352142,Meryl Streep,film,0.08717125412263073
1357921,Meryl Streep,merchandise,0.07865132109573561
1352160,Meryl Streep,films,0.07592335036487192
1350372,Meryl Streep,dolls,0.07429431855561187
1351819,Meryl Streep,fairy,0.06500752873616039
1344380,Meryl Streep,agar,0.06188030570979497
1349283,Meryl Streep,czechoslovakia,0.06188030570979497
1180912,Peter O'Toole,rajinikanth,0.6868757184128076
1185041,Peter O'Toole,tamil,0.5086226005570371
1171381,Peter O'Toole,film,0.22968463600815367
1171388,Peter O'Toole,filmfare,0.12319930627058369
1174103,Peter O'Toole,indian,0.11685397302014078
1175045,Peter O'Toole,kannada,0.09536673760444446
1177951,Peter O'Toole,nadu,0.08900895509748148
1168374,Peter O'Toole,crore,0.07629339008355557
1164900,Peter O'Toole,balachander,0.06357782506962964
1185189,Peter O'Toole,telugu,0.06349271346673012
1268672,Rajinikanth,bernhardt,0.760820095332484
1285799,Rajinikanth,sarah,0.16373800500342264
1282462,Rajinikanth,paris,0.1307478256000774
1288966,Rajinikanth,tour,0.11020367319829177
1270988,Rajinikanth,comédie,0.10984749597107549
1275100,Rajinikanth,francs,0.105779070194369
1283114,Rajinikanth,play,0.09183607664308129
1288603,Rajinikanth,theatre,0.08653950925528434
1288736,Rajinikanth,théâtre,0.08543694131083648
1275116,Rajinikanth,française,0.08411910088552137
811771,Rita Hayworth,hepburn,0.8522707335916362
824192,Rita Hayworth,tracy,0.1376263717229506
809859,Rita Hayworth,film,0.12841917634680147
801888,Rita Hayworth,actress,0.08309479349675279
813568,Rita Hayworth,katharine,0.07934934416197992
820557,Rita Hayworth,role,0.06504347892889945
803250,Rita Hayworth,award,0.06379991000682113
818300,Rita Hayworth,play,0.06204248245762894
805028,Rita Hayworth,career,0.060040134395907184
819634,Rita Hayworth,received,0.05982561673397604
423241,Robert De Niro,garbo,0.8728266002848085
422514,Robert De Niro,film,0.12469092601956556
428379,Robert De Niro,mgm,0.09515946478139957
435441,Robert De Niro,stiller,0.09490124901251643
423820,Robert De Niro,greta,0.08510594787250378
436428,Robert De Niro,thalberg,0.0810088195613531
436003,Robert De Niro,swedish,0.06880849022956388
423451,Robert De Niro,gilbert,0.06231447658565623
436001,Robert De Niro,sweden,0.058712408038409006
434557,Robert De Niro,silent,0.056798715306474075
1457045,Rudolph Valentino,hanks,0.9195426974296073
1455434,Rudolph Valentino,film,0.08539867707801722
1448825,Rudolph Valentino,award,0.04944454185552697
1447461,Rudolph Valentino,actor,0.04767866536068672
1471414,Rudolph Valentino,wilson,0.047521540944687184
1469626,Rudolph Valentino,tom,0.045821634151697106
1461690,Rudolph Valentino,moon,0.044568509127819025
1467954,Rudolph Valentino,space,0.04291426177057862
1466132,Rudolph Valentino,role,0.04269933853900861
1466631,Rudolph Valentino,saving,0.04166489846851924
135757,Sarah Bernhardt,davis,0.8409064804306203
138461,Sarah Bernhardt,film,0.17219693666710262
132500,Sarah Bernhardt,bette,0.16919929722328128
140848,Sarah Bernhardt,hyman,0.10118424371292271
144267,Sarah Bernhardt,merrill,0.10118424371292271
154142,Sarah Bernhardt,warner,0.08059905296997569
135359,Sarah Bernhardt,crawford,0.061076057909101075
130369,Sarah Bernhardt,academy,0.060839687772432594
140573,Sarah Bernhardt,hollywood,0.060558244754086346
131852,Sarah Bernhardt,award,0.059344893337972146
290698,Sean Connery,day,0.523418269386573
291697,Sean Connery,doris,0.44140690568629665
299096,Sean Connery,melcher,0.2961175238049599
286074,Sean Connery,animal,0.18517542514259291
297070,Sean Connery,kappelhoff,0.14805876190247996
304162,Sean Connery,rosenthal,0.1344186870102973
293399,Sean Connery,film,0.13119819934128926
305005,Sean Connery,sera,0.11844700952198396
303025,Sean Connery,rapp,0.08883525714148797
293772,Sean Connery,foundation,0.07413143393884349
776667,Setsuko Hara,andrews,0.9058639745456999
787597,Setsuko Hara,julie,0.1766081136928802
799677,Setsuko Hara,walton,0.0901684355210405
782773,Setsuko Hara,edwards,0.08850051288854245
782985,Setsuko Hara,emma,0.07104815486632941
784036,Setsuko Hara,film,0.06205701000640649
792655,Setsuko Hara,poppins,0.05229784282592214
782094,Setsuko Hara,disney,0.04848065866079065
790520,Setsuko Hara,musical,0.047006226283072015
799562,Setsuko Hara,voice,0.04592246758442557
1408566,Shirley Temple,loren,0.8261864557164735
1416242,Shirley Temple,sophia,0.1927615437107036
1412391,Shirley Temple,ponti,0.13091998997202695
1403788,Shirley Temple,film,0.11020939563729445
1415114,Shirley Temple,scicolone,0.09176684120524331
1416165,Shirley Temple,sofia,0.07865729246163713
1415317,Shirley Temple,sellers,0.07502422786568032
1406047,Shirley Temple,houseboat,0.0714109036211056
1410396,Shirley Temple,naples,0.06886030675614276
1397179,Shirley Temple,award,0.06775147658081167
1264032,Sidney Poitier,valentino,0.9297835413457238
1258409,Sidney Poitier,rambova,0.16553824782901996
1259699,Sidney Poitier,rudolph,0.1052014993646421
1254336,Sidney Poitier,mathis,0.09380500710311132
1248850,Sidney Poitier,film,0.07397045072784009
1240835,Sidney Poitier,acker,0.05517941594300666
1260640,Sidney Poitier,sheik,0.049661474348706
1259529,Sidney Poitier,rodolfo,0.04414353275440533
1257299,Sidney Poitier,players,0.04366304897376792
1260033,Sidney Poitier,saulles,0.03862559116010466
980632,Sophia Loren,west,0.7061463872926798
969843,Sophia Loren,mae,0.4756391079222648
964797,Sophia Loren,film,0.10873640048233814
960190,Sophia Loren,censorship,0.10104965469730968
969350,Sophia Loren,lil,0.08507917530564163
962616,Sophia Loren,diamond,0.07168000563122923
959487,Sophia Loren,broadway,0.06764861993798167
977234,Sophia Loren,songs,0.06342772561142787
976913,Sophia Loren,sinner,0.0579308726289827
972565,Sophia Loren,paramount,0.05679955619719388
1443944,Spencer Tracy,tracy,0.8859743967032184
1431523,Spencer Tracy,hepburn,0.12875835648660877
1429611,Spencer Tracy,film,0.1257471834403355
1435476,Spencer Tracy,mgm,0.08170041008747199
1442210,Spencer Tracy,spencer,0.06512653032053897
1433617,Spencer Tracy,kramer,0.056927982178104956
1429998,Spencer Tracy,fox,0.05658700723063372
1421638,Spencer Tracy,actor,0.052706841112625434
1436422,Spencer Tracy,new,0.052706841112625434
1433274,Spencer Tracy,kanin,0.05040831014529433
758954,Tom Hanks,garland,0.8909637714090234
761765,Tom Hanks,judy,0.22769074158230598
763099,Tom Hanks,luft,0.0788926225716125
759655,Tom Hanks,gumm,0.07283114950936911
758213,Tom Hanks,film,0.05437210096165971
764078,Tom Hanks,mgm,0.05209396477036186
765806,Tom Hanks,oz,0.04821215823820764
767722,Tom Hanks,rainbow,0.04294029111343892
771338,Tom Hanks,studio,0.04192699250471994
766812,Tom Hanks,ponedel,0.0416177997196395
1040122,Toshiro Mifune,dietrich,0.8524913019703877
1047628,Toshiro Mifune,marlene,0.23590954268362926
1036248,Toshiro Mifune,berlin,0.13690271440173996
1055168,Toshiro Mifune,sternberg,0.13038437704997985
